Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
"Capacitor 100nF +/-20% 25V 0402","Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm","C1, C6, C7, C8, C9, C11","CAPC0402(1005)60_L","CMP-001-00065-4","6","C1525"
"Capacitor 10 pF +/- 0.25 pF 50 V 0402","Chip Capacitor, 10 pF, +/- 0.25 pF, 50 V, 0402 (1005 Metric)","C2, C3","CAPC1005X55X30LL05T10","CMP-001-00011-6","2","C32949"
"22u","CAP CER 22UF 25V X6S 1206","C4, C5","CAP 1206_3216 - 0.8MM","GRM31CC81E226KE11L","2","C12891"
"Capacitor 4.7µF +/-40% 25V 0805","Chip Capacitor, 4.7µF +/-40%, 25V, 0805, Thickness 1.45 mm","C10","CAPC0805(2012)145_L","CMP-001-00080-4","1","C1779"
"Capacitor 10nF +/-20% 50V 0402","Chip Capacitor, 10nF +/-20%, 50V, 0402, Thickness 0.6 mm","C12","CAPC0402(1005)60_L","CMP-001-00069-3","1","C15195"
"Capacitor 1uF +/- 10% 16V 0603","Chip Capacitor, 1 uF, +/- 10%, 16 V, 0603 (1608 Metric)","C13, C14, C15","CAPC1608X90X35ML15T15","CMP-001-00004-6","3","C15849"
"TLMS1100-GS08","Red Led, 20mA, 2.1 V, -40 to 100 degC, 2-Pin SMD (0603), RoHS, Tape and Reel","DS1, DS2","VISH-TLMX1100_V","CMP-007-00030-2","2","C2286"
"600O@100MHz","FERRITE BEAD 600 OHM 0805 1LN","FB1","FER 0805_2012","Z0805C601BSMST","1","C1015"
"473460001","CONN RCPT USB2.0 MICRO B SMD R/A","J1","FP-473460001-MFG","CMP-2000-05246-2","1","C132560"
"Resistor 10k +/-1% 0402 100 mW","Chip Resistor, 10 KOhm, +/- 1%, 0.1 W, -55 to 155 degC, 0402 (1005 Metric)","R1, R2, R3, R4","RESC1005X40X25ML05T05","CMP-009-00015-5","4","C11616"
"STM32F103C8T6","ARM Cortex-M3 32-bit MCU, 64 KB Flash, 20 KB Internal RAM, 37 I/Os, 48-pin LQFP, -40 to 85 degC, Tray","U1","STM-LQFP48_L","CMP-0237-00215-3","1","C8734"
"AMS1117-3.3","LDO Voltage Regulators 1A, 3.3V","U2","FP-AMS1117-IPC_C","CMP-209535-000001-1","1","C6186"
"NX3225GA-16.000M-STD-CRG-2","CRYSTAL 16.0000MHZ 8PF SMD","Y1","FP-NX3225GA-MFG","CMP-200220-000007-1","1","C13738"
